,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0031246662139892576,0.006249332427978515,0.05639214515686035,0.04272470048789331,3,1,"{'n_neighbors': 3, 'p': 1}",0.855928756599982,0.8197620534726778,0.8509458469955244,0.8057824925628092,0.8072738717253993,0.8279386042712786,0.021436241673154277,4
1,0.0031253337860107423,0.0062506675720214845,0.03836512565612793,0.007217694973905423,3,2,"{'n_neighbors': 3, 'p': 2}",0.8149346623966756,0.792628788254629,0.82311092843001,0.7155803784713903,0.7581719431929349,0.7808853401491279,0.039650729238214215,10
2,0.0,0.0,0.0376589298248291,0.007847163279920808,5,1,"{'n_neighbors': 5, 'p': 1}",0.8728490781011556,0.8281835281930625,0.8412566983750589,0.797790367841998,0.8158437544818763,0.8311846853986301,0.025285959011696373,1
3,0.0,0.0,0.039422464370727536,0.010937815306146462,5,2,"{'n_neighbors': 5, 'p': 2}",0.8386864327809479,0.7988556550407393,0.8294494475849321,0.7502689781761218,0.7702386951392545,0.7974998417443991,0.03374277822558269,9
4,0.0,0.0,0.03786873817443848,0.008220986307181767,7,1,"{'n_neighbors': 7, 'p': 1}",0.8736431776781277,0.8215711962476546,0.8447899338413858,0.802302352422144,0.811173676695896,0.8306960673770416,0.025743664910434175,2
5,0.0031308650970458983,0.006261730194091796,0.037221097946166994,0.009233942319460058,7,2,"{'n_neighbors': 7, 'p': 2}",0.8431259655417171,0.804588815314464,0.8306515525558499,0.756180969259232,0.7812205347390359,0.8031535674820598,0.031759957919393636,8
6,0.0,0.0,0.0371614933013916,0.007284702314003792,9,1,"{'n_neighbors': 9, 'p': 1}",0.8724250785286071,0.8219279496693704,0.8430643571472946,0.8037314262130543,0.800435474659468,0.8283168572435589,0.02677930914750839,3
7,0.0,0.0,0.0429934024810791,0.005967480748228592,9,2,"{'n_neighbors': 9, 'p': 2}",0.8485976544440879,0.8053722804700119,0.8288997402426832,0.7614493888587447,0.7863858560165613,0.8061409840064178,0.030687862466912512,7
8,0.0031247615814208986,0.006249523162841797,0.03596034049987793,0.0063578121030906775,11,1,"{'n_neighbors': 11, 'p': 1}",0.8734793415092019,0.8192457544124003,0.8349963463236868,0.8082688061074753,0.7986528004524548,0.8269286097610438,0.026225159409569963,5
9,0.0,0.0,0.04008593559265137,0.006314160580393169,11,2,"{'n_neighbors': 11, 'p': 2}",0.8495516030648613,0.7968575822588609,0.8287720466442172,0.7714467321481695,0.7863653106553826,0.8065986549542983,0.028553631804614912,6
